date,followers,likes,comments,shares,saves,views,impressions,reach,engagement_rate (%)
2025-02-19,67890,2738,339,70,127,37423,50275,41346,4.82
2025-02-20,26138,988,119,31,59,38645,48655,39987,4.58
2025-02-21,57804,4725,337,54,26,58666,78087,75502,8.9
2025-02-22,6328,164,22,1,8,8381,16456,15844,3.08
2025-02-23,22592,1091,149,26,75,12248,16585,14096,5.94
2025-02-24,90784,8242,1081,45,456,66016,95932,93576,10.82
2025-02-25,84328,12547,898,507,900,50926,89929,70086,17.61
2025-02-26,94637,16269,882,553,1590,83809,130242,105311,20.39
2025-02-27,9396,504,51,14,28,13966,19745,18295,6.35
2025-02-28,13549,1556,98,75,103,7329,7935,6288,13.52
2025-03-01,75756,14581,1048,339,1179,40829,58788,52563,22.63
2025-03-02,37063,4255,520,81,404,43990,47468,46678,14.19
2025-03-03,96197,14629,1620,547,433,66928,87174,64817,17.91
2025-03-04,84901,13422,1285,300,1244,101927,141345,132991,19.14
2025-03-05,81946,2682,306,30,183,78899,134777,112986,3.91
2025-03-06,57906,5069,461,92,148,37353,62471,49239,9.96
2025-03-07,86192,7090,619,245,68,52324,79794,56683,9.31
2025-03-08,37432,1437,91,71,18,30305,52756,45312,4.32
2025-03-09,77958,15074,1803,519,808,91487,173807,153969,23.35
2025-03-10,85825,12763,1121,357,360,126801,241231,197678,17.01
2025-03-11,63296,12249,1637,550,1169,85257,85552,63645,24.65
2025-03-12,11998,2232,120,13,26,7229,13044,10683,19.93
2025-03-13,63961,3014,260,9,126,92407,121195,106058,5.33
2025-03-14,74470,3999,329,167,260,84139,140482,132305,6.39
2025-03-15,1397,137,14,0,6,808,861,646,11.24
2025-03-16,29577,972,141,36,22,21297,32731,29416,3.96
2025-03-17,11855,492,65,16,38,11267,21948,18948,5.15
2025-03-18,79689,8033,1188,290,797,56356,109398,89008,12.94
2025-03-19,49289,3557,329,112,199,63762,65772,54720,8.52
2025-03-20,23989,1972,206,39,155,35179,38061,36762,9.89
2025-03-21,76627,9904,969,37,815,92380,170417,151442,15.3
2025-03-22,63002,8932,818,282,262,73060,111549,84554,16.34
2025-03-23,93140,10545,861,397,675,136226,260936,211982,13.4
2025-03-24,82197,7323,1076,352,696,78966,81632,80920,11.49
2025-03-25,49615,4892,609,49,67,26558,32559,23227,11.32
2025-03-26,38291,1422,101,4,39,51988,55644,40085,4.09
2025-03-27,4705,798,88,37,74,6971,7829,6983,21.19
2025-03-28,68158,6008,615,238,226,45086,63399,52494,10.4
2025-03-29,68749,7628,1122,108,601,84850,150078,147891,13.76
2025-03-30,44419,8549,565,341,130,63145,110939,100640,21.58
2025-03-31,38676,1882,233,11,4,52476,67219,65815,5.51
2025-04-01,43014,3122,386,86,286,46418,91163,79986,9.02
2025-04-02,58362,11421,717,182,554,73050,88823,80188,22.06
2025-04-03,58764,6488,665,32,170,68408,114093,98302,12.52
2025-04-04,83250,9786,1053,390,790,95116,186513,139774,14.44
2025-04-05,50850,6331,946,278,549,40061,66488,61989,15.94
2025-04-06,87905,7929,1183,153,777,112980,162686,146722,11.42
2025-04-07,41907,1616,151,46,104,28855,57468,56300,4.57
2025-04-08,35175,895,133,20,22,40550,41167,31731,3.04
2025-04-09,66985,11122,1107,397,1019,38211,59751,48346,20.37
2025-04-10,59060,8841,880,14,78,83486,85380,62301,16.62
2025-04-11,78780,1419,152,25,134,106675,125732,113191,2.2
2025-04-12,75028,12093,811,187,463,85926,89172,63749,18.07
2025-04-13,11617,818,72,21,17,13080,17617,17576,7.99
2025-04-14,37887,6586,534,40,493,40850,50912,47856,20.2
2025-04-15,51649,7583,661,266,645,34524,52303,50790,17.73
2025-04-16,67678,3802,505,31,50,96644,170064,131201,6.48
2025-04-17,64814,6919,361,312,295,40557,72220,61453,12.17
2025-04-18,33921,928,134,31,18,32397,35294,27599,3.28
2025-04-19,73605,10879,552,480,292,75283,148444,128405,16.58
2025-04-20,59798,4940,681,85,75,30115,31129,27267,9.67
2025-04-21,19749,901,85,4,74,18599,35105,29086,5.39
2025-04-22,27368,4393,613,82,329,21450,32046,31844,19.79
2025-04-23,31700,4203,267,193,255,19175,19819,18550,15.51
2025-04-24,84743,15574,1610,65,1118,89421,126267,107288,21.67
2025-04-25,51215,5343,380,147,372,46830,62357,57300,12.19
2025-04-26,67023,4423,579,32,439,83792,137903,100197,8.17
2025-04-27,73039,12019,1097,73,524,76499,130222,106933,18.77
2025-04-28,34861,6006,725,47,356,46665,88585,87018,20.46
2025-04-29,98132,12402,1430,287,895,75171,119893,85491,15.3
2025-04-30,64909,10985,1276,9,641,57168,79470,58710,19.89
2025-05-01,91176,17549,1942,590,655,89038,177766,153899,22.74
2025-05-02,73271,5840,706,206,157,63911,68996,68329,9.43
2025-05-03,76610,10475,659,388,865,99707,158695,131746,16.17
2025-05-04,19881,1306,194,43,111,27248,33182,30577,8.32
2025-05-05,91286,14039,1517,685,279,102680,117465,85701,18.1
2025-05-06,61101,5510,794,254,521,53284,104282,76345,11.59
2025-05-07,94563,14163,1671,443,1258,81790,111625,97937,18.54
2025-05-08,50449,6567,428,280,564,63607,113515,107911,15.54
2025-05-09,32646,4904,640,11,336,17472,21345,15706,18.05
2025-05-10,20260,2757,210,46,114,17734,21052,20211,15.43
2025-05-11,50628,1201,141,54,116,33344,48808,40051,2.99
2025-05-12,75461,6172,594,178,598,63800,120528,96632,9.99
2025-05-13,99912,6018,540,248,290,86875,102680,81851,7.1
2025-05-14,65306,8354,1081,403,325,49986,81348,72573,15.56
2025-05-15,41943,8245,1064,35,420,56875,110412,100217,23.28
2025-05-16,13528,618,51,11,25,7130,7340,6869,5.21
2025-05-17,59891,11008,1131,506,12,50770,71489,60231,21.13
2025-05-18,6573,615,86,19,26,4006,4844,3700,11.35
2025-05-19,59604,9579,1314,0,520,66590,78605,67167,19.15
2025-05-20,22776,386,21,13,22,25292,36904,33792,1.94
2025-05-21,52683,1153,136,53,64,51790,98424,74126,2.67
2025-05-22,24333,4120,325,52,303,13706,17230,16511,19.73
2025-05-23,20575,2459,181,6,168,15486,26609,22691,13.68
2025-05-24,24852,4022,235,166,389,20646,34655,26547,19.36
2025-05-25,83924,13795,716,429,1258,98682,131477,94876,19.3
2025-05-26,15411,2159,161,54,212,15444,27104,19035,16.78
2025-05-27,9458,1520,205,27,78,7368,13349,13197,19.35
2025-05-28,82531,10885,1086,136,846,79188,120479,115277,15.69
2025-05-29,6433,1273,77,32,23,5802,7289,5174,21.84
2025-05-30,24613,2021,140,57,78,30281,31214,29965,9.33
2025-05-31,46116,7652,794,26,607,31138,36458,32055,19.69
2025-06-01,52047,6843,1001,176,297,63997,71210,66518,15.98
2025-06-02,3505,122,10,2,6,4316,6354,4770,3.99
2025-06-03,24962,1711,167,61,33,19907,25734,24486,7.9
2025-06-04,28055,5603,548,271,138,37400,45794,32954,23.38
2025-06-05,32717,3632,304,12,247,43022,56839,54760,12.82
2025-06-06,4154,256,38,5,24,5068,8093,6264,7.78
2025-06-07,58922,3184,328,110,297,69405,138152,122828,6.65
2025-06-08,39587,4600,661,144,140,22596,23637,17014,14.01
2025-06-09,43033,3938,498,165,306,22990,32603,26254,11.4
2025-06-10,33503,3629,348,139,40,19495,37858,34960,12.4
2025-06-11,1932,127,15,1,10,1437,2203,2129,7.92
2025-06-12,94557,14562,1810,510,507,64305,96002,76198,18.39
2025-06-13,58290,8852,784,119,339,57643,75951,55149,17.32
2025-06-14,33605,3623,286,163,31,39899,73744,61710,12.21
2025-06-15,37470,3906,513,37,297,31332,31341,27386,12.68
2025-06-16,40153,2062,244,14,141,58746,88363,86770,6.13
2025-06-17,49255,5994,509,150,450,40545,41291,31113,14.42
2025-06-18,51115,4568,266,156,60,50430,72282,61194,9.88
2025-06-19,84307,16544,1877,770,840,110963,185547,166680,23.76
2025-06-20,54403,1976,120,3,4,70695,85988,74981,3.87
2025-06-21,6207,1002,147,14,21,5165,7184,5236,19.08
2025-06-22,67645,3862,312,26,118,67547,88291,67322,6.38
2025-06-23,46417,8363,727,37,165,49783,78706,55838,20.02
2025-06-24,43793,3902,511,175,65,31492,32113,25878,10.62
2025-06-25,18431,2964,184,74,160,24326,25236,21189,18.35
2025-06-26,52105,5940,792,100,244,75349,106338,85939,13.58
2025-06-27,65767,8201,1024,182,45,79694,149995,133769,14.37
2025-06-28,93512,6113,566,174,531,112541,179374,143635,7.9
2025-06-29,36820,6816,987,214,165,18621,20979,18625,22.22
2025-06-30,71243,9532,979,457,823,57968,65453,62827,16.55
2025-07-01,75423,4821,393,201,358,87729,117154,107208,7.65
2025-07-02,7876,260,15,12,19,5564,9140,7771,3.89
2025-07-03,11155,1700,230,20,75,12637,21652,17943,18.15
2025-07-04,42708,4473,599,100,217,53970,72505,67259,12.62
2025-07-05,55956,7421,1040,365,342,79164,125400,117620,16.38
2025-07-06,48059,6475,487,282,342,67851,112685,92505,15.78
2025-07-07,54929,5145,360,135,330,44074,70512,50242,10.87
2025-07-08,57910,8267,828,17,742,64684,91734,81052,17.02
2025-07-09,46090,1110,95,49,31,44224,68457,65441,2.79
2025-07-10,65727,10578,742,348,24,81732,96023,93884,17.79
2025-07-11,8610,987,86,0,78,8565,13225,10821,13.37
2025-07-12,47360,3538,299,61,325,63413,78264,57171,8.92
2025-07-13,98147,8616,838,317,503,127723,225885,164616,10.47
2025-07-14,80108,9226,967,457,506,56677,86286,70543,13.93
2025-07-15,75287,3184,430,37,224,46014,86081,73569,5.15
2025-07-16,88682,15460,2136,609,584,63589,81789,70058,21.19
2025-07-17,21002,1772,231,23,2,30795,50842,40756,9.66
2025-07-18,23618,813,77,40,16,19335,38253,32449,4.01
2025-07-19,39111,5529,648,2,170,44608,52348,38059,16.23
